text,total
a,22414
x,5432
j,384
q,744
k,1825
n,2705
i,4170
y,1915
r,1157
u,397
w,701
p,1659
v,3205
g,943
e,859
d,7380
s,4959
h,1211
m,1121
l,545
b,5244
c,5091
t,1702
f,1363
o,824
z,500
﻿,3
